task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-BACKBONE-01,T00,0,48,P07-S03,P34-S15,,14.4,0,3,16,230.9,2,background
RADAR-BACKBONE-02,T00,0,48,P16-S09,P55-S22,,12.6,0,3,16,202.03,2,background
RADAR-BACKBONE-03,T00,0,48,P31-S14,P24-S13,,14.16,0,3,16,227.05,2,background
RADAR-BACKBONE-04,T00,0,48,P51-S20,P34-S20,,13.68,0,3,16,219.35,2,background
RADAR-BACKBONE-05,T00,0,48,P66-S03,P32-S18,,9.12,0,3,16,146.23,2,background
RADAR-BACKBONE-06,T00,0,48,P06-S08,P71-S10,,7.44,0,3,16,119.3,2,background
RADAR-00-na-east-human-web,T00,0,2,P07-S03,P35-S17,,9.74,0,3.6,12,175.11,2,mixed
RADAR-00-na-east-video-streaming,T00,0,3,P10-S05,P40-S22,,6.26,0,3,21.6,370.83,3,background
RADAR-00-na-east-automated,T00,0,2,P25-S15,P65-S22,,5.57,0,2.4,9.6,142.96,4,routing
RADAR-COMPUTE-00-na-east,T00,0,3,,,P22-S13,16.7,1,9.6,38.4,0,2,compute
RADAR-00-na-west-human-web,T00,0,2,P16-S09,P56-S02,,8.53,0,3.15,10.5,153.22,2,mixed
RADAR-00-na-west-interactive-realtime,T00,0,1,P22-S13,P66-S11,,9.74,0,2.1,6.3,85.63,1,routing
RADAR-00-na-west-api,T00,0,2,P25-S15,P71-S15,,10.96,0,4.2,12.6,62.33,1,telemetry
RADAR-00-na-west-background-sync,T00,0,4,P28-S17,P04-S20,,6.09,0,3.15,21,73.17,3,background
RADAR-00-na-west-dns-control,T00,0,1,P37-S01,P19-S11,,3.65,0,1.05,4.2,24.39,1,telemetry
RADAR-00-europe-human-web,T00,0,2,P31-S14,P25-S15,,9.58,0,3.54,11.8,172.2,2,mixed
RADAR-00-europe-video-streaming,T00,0,3,P34-S16,P30-S20,,6.16,0,2.95,21.24,364.65,3,background
RADAR-00-europe-software-update,T00,0,5,P46-S02,P50-S16,,4.79,0,2.36,42.48,243.1,4,background
RADAR-00-east-asia-human-web,T00,0,2,P51-S20,P35-S22,,9.26,0,3.42,11.4,166.36,2,mixed
RADAR-00-east-asia-interactive-realtime,T00,0,1,P57-S02,P45-S09,,10.58,0,2.28,6.84,92.96,1,routing
RADAR-00-east-asia-api,T00,0,2,P60-S04,P50-S13,,11.9,0,4.56,13.68,67.67,1,telemetry
RADAR-00-south-america-human-web,T00,0,2,P66-S03,P33-S20,,6.17,0,2.4,8,110.91,2,mixed
RADAR-00-south-america-video-streaming,T00,0,3,P69-S05,P38-S03,,3.97,0,2,14.4,234.86,3,background
RADAR-00-south-america-background-sync,T00,0,4,P06-S11,P53-S16,,4.41,0,2.4,16,52.96,3,background
RADAR-00-south-america-automated,T00,0,2,P12-S15,P63-S03,,3.53,0,1.6,6.4,90.54,4,routing
RADAR-COMPUTE-00-south-america,T00,0,3,,,P09-S13,10.58,0,6.4,25.6,0,2,compute
RADAR-00-oceania-human-web,T00,0,2,P06-S08,P72-S12,,5.03,0,2.4,8,90.48,2,mixed
RADAR-00-oceania-interactive-realtime,T00,0,1,P12-S12,P10-S21,,5.75,0,1.6,4.8,50.56,1,routing
RADAR-00-oceania-api,T00,0,2,P15-S14,P15-S03,,6.47,0,3.2,9.6,36.81,1,telemetry
RADAR-00-oceania-dns-control,T00,0,1,P27-S22,P35-S21,,2.16,0,0.8,3.2,14.4,1,telemetry
RADAR-01-na-east-human-web,T01,1,2,P08-S03,P36-S18,,9.07,0,3.6,12,161.94,2,mixed
RADAR-01-na-east-interactive-realtime,T01,1,1,P14-S07,P46-S05,,10.37,0,2.4,7.2,90.49,1,routing
RADAR-01-na-east-api,T01,1,2,P17-S09,P51-S09,,11.66,0,4.8,14.4,67.07,1,telemetry
RADAR-01-na-east-background-sync,T01,1,4,P20-S11,P56-S14,,6.48,0,3.6,24,78.73,3,background
RADAR-01-na-east-dns-control,T01,1,1,P29-S17,P71-S05,,3.89,0,1.2,4.8,26.24,1,telemetry
RADAR-01-na-west-human-web,T01,1,2,P17-S09,P57-S02,,7.94,0,3.15,10.5,141.69,2,mixed
RADAR-01-na-west-video-streaming,T01,1,3,P20-S11,P62-S07,,5.1,0,2.63,18.9,300.06,3,background
RADAR-01-na-west-software-update,T01,1,5,P32-S19,P10-S03,,3.97,0,2.1,37.8,200.04,4,background
RADAR-01-europe-human-web,T01,1,2,P32-S14,P26-S16,,8.92,0,3.54,11.8,159.24,2,mixed
RADAR-01-europe-interactive-realtime,T01,1,1,P38-S18,P36-S03,,10.2,0,2.36,7.08,88.98,1,routing
RADAR-01-europe-api,T01,1,2,P41-S20,P41-S07,,11.47,0,4.72,14.16,65.95,1,telemetry
RADAR-01-east-asia-human-web,T01,1,2,P52-S20,P36-S22,,8.62,0,3.42,11.4,153.84,2,mixed
RADAR-01-east-asia-video-streaming,T01,1,3,P55-S22,P41-S05,,5.54,0,2.85,20.52,325.78,3,background
RADAR-01-east-asia-background-sync,T01,1,4,P64-S06,P56-S18,,6.16,0,3.42,22.8,74.8,3,background
RADAR-01-east-asia-automated,T01,1,2,P70-S10,P66-S05,,4.92,0,2.28,9.12,126.44,4,routing
RADAR-COMPUTE-01-east-asia,T01,1,3,,,P67-S08,14.77,1,9.12,36.48,0,2,compute
RADAR-01-south-america-human-web,T01,1,2,P67-S03,P34-S21,,5.75,0,2.4,8,102.56,2,mixed
RADAR-01-south-america-interactive-realtime,T01,1,1,P01-S07,P44-S08,,6.57,0,1.6,4.8,57.31,1,routing
RADAR-01-south-america-api,T01,1,2,P04-S09,P49-S12,,7.39,0,3.2,9.6,42.48,1,telemetry
RADAR-01-south-america-dns-control,T01,1,1,P16-S17,P69-S08,,2.46,0,0.8,3.2,16.62,1,telemetry
RADAR-01-oceania-human-web,T01,1,2,P07-S08,P01-S12,,4.69,0,2.4,8,83.67,2,mixed
RADAR-01-oceania-video-streaming,T01,1,3,P10-S10,P06-S17,,3.01,0,2,14.4,177.18,3,background
RADAR-02-na-east-human-web,T02,2,2,P09-S04,P37-S18,,8.57,0,3.6,12,150.86,2,mixed
RADAR-02-na-east-video-streaming,T02,2,3,P12-S06,P42-S01,,5.51,0,3,21.6,319.46,3,background
RADAR-02-na-east-software-update,T02,2,5,P24-S14,P62-S19,,4.28,0,2.4,43.2,212.98,4,background
RADAR-02-na-west-human-web,T02,2,2,P18-S10,P58-S03,,7.5,0,3.15,10.5,132,2,mixed
RADAR-02-na-west-interactive-realtime,T02,2,1,P24-S14,P68-S12,,8.57,0,2.1,6.3,73.77,1,routing
RADAR-02-na-west-api,T02,2,2,P27-S16,P01-S16,,9.64,0,4.2,12.6,55.42,1,telemetry
RADAR-02-europe-human-web,T02,2,2,P33-S15,P27-S16,,8.43,0,3.54,11.8,148.34,2,mixed
RADAR-02-europe-video-streaming,T02,2,3,P36-S17,P32-S21,,5.42,0,2.95,21.24,314.14,3,background
RADAR-02-europe-background-sync,T02,2,4,P45-S01,P47-S12,,6.02,0,3.54,23.6,73.12,3,background
RADAR-02-europe-automated,T02,2,2,P51-S05,P57-S21,,4.81,0,2.36,9.44,126.74,4,routing
RADAR-COMPUTE-02-europe,T02,2,3,,,P48-S03,14.44,1,9.44,37.76,0,2,compute
RADAR-02-east-asia-human-web,T02,2,2,P53-S21,P37-S01,,8.14,0,3.42,11.4,143.32,2,mixed
RADAR-02-east-asia-interactive-realtime,T02,2,1,P59-S03,P47-S10,,9.3,0,2.28,6.84,80.09,1,routing
RADAR-02-east-asia-api,T02,2,2,P62-S05,P52-S14,,10.47,0,4.56,13.68,60.17,1,telemetry
RADAR-02-east-asia-dns-control,T02,2,1,P02-S13,P72-S10,,3.49,0,1.14,4.56,23.55,1,telemetry
RADAR-02-south-america-human-web,T02,2,2,P68-S04,P35-S21,,5.43,0,2.4,8,95.54,2,mixed
RADAR-02-south-america-video-streaming,T02,2,3,P71-S06,P40-S04,,3.49,0,2,14.4,202.33,3,background
RADAR-02-oceania-human-web,T02,2,2,P08-S09,P02-S13,,4.43,0,2.4,8,77.94,2,mixed
RADAR-02-oceania-interactive-realtime,T02,2,1,P14-S13,P12-S22,,5.06,0,1.6,4.8,43.56,1,routing
RADAR-02-oceania-api,T02,2,2,P17-S15,P17-S04,,5.69,0,3.2,9.6,32.73,1,telemetry
RADAR-02-oceania-background-sync,T02,2,4,P20-S17,P22-S09,,3.16,0,2.4,16,38.42,3,background
RADAR-03-na-east-human-web,T03,3,2,P10-S04,P38-S19,,8.4,0,3.6,12,146.88,2,mixed
RADAR-03-na-east-interactive-realtime,T03,3,1,P16-S08,P48-S06,,9.6,0,2.4,7.2,82.08,1,routing
RADAR-03-na-east-api,T03,3,2,P19-S10,P53-S10,,10.8,0,4.8,14.4,62.79,1,telemetry
RADAR-03-na-west-human-web,T03,3,2,P19-S10,P59-S03,,7.35,0,3.15,10.5,128.52,2,mixed
RADAR-03-na-west-video-streaming,T03,3,3,P22-S12,P64-S08,,4.73,0,2.63,18.9,272.16,3,background
RADAR-03-na-west-background-sync,T03,3,4,P31-S18,P07-S21,,5.25,0,3.15,21,64.5,3,background
RADAR-03-na-west-automated,T03,3,2,P37-S22,P17-S08,,4.2,0,2.1,8.4,110.57,4,routing
RADAR-COMPUTE-03-na-west,T03,3,3,,,P34-S20,12.6,1,8.4,33.6,0,2,compute
RADAR-03-europe-human-web,T03,3,2,P34-S15,P28-S17,,8.26,0,3.54,11.8,144.43,2,mixed
RADAR-03-europe-interactive-realtime,T03,3,1,P40-S19,P38-S04,,9.44,0,2.36,7.08,80.71,1,routing
RADAR-03-europe-api,T03,3,2,P43-S21,P43-S08,,10.62,0,4.72,14.16,61.74,1,telemetry
RADAR-03-europe-dns-control,T03,3,1,P55-S07,P63-S04,,3.54,0,1.18,4.72,24.16,1,telemetry
RADAR-03-east-asia-human-web,T03,3,2,P54-S21,P38-S01,,7.98,0,3.42,11.4,139.54,2,mixed
RADAR-03-east-asia-video-streaming,T03,3,3,P57-S01,P43-S06,,5.13,0,2.85,20.52,295.49,3,background
RADAR-03-south-america-human-web,T03,3,2,P69-S04,P36-S22,,5.32,0,2.4,8,93.02,2,mixed
RADAR-03-south-america-interactive-realtime,T03,3,1,P03-S08,P46-S09,,6.08,0,1.6,4.8,51.98,1,routing
RADAR-03-south-america-api,T03,3,2,P06-S10,P51-S13,,6.84,0,3.2,9.6,39.77,1,telemetry
RADAR-03-south-america-background-sync,T03,3,4,P09-S12,P56-S18,,3.8,0,2.4,16,46.68,3,background
RADAR-03-oceania-human-web,T03,3,2,P09-S09,P03-S13,,4.34,0,2.4,8,75.89,2,mixed
RADAR-03-oceania-video-streaming,T03,3,3,P12-S11,P08-S18,,2.79,0,2,14.4,160.7,3,background
RADAR-03-oceania-software-update,T03,3,5,P24-S19,P28-S14,,2.17,0,1.6,28.8,107.14,4,background
RADAR-03-oceania-automated,T03,3,2,P27-S21,P33-S18,,2.48,0,1.6,6.4,65.29,4,routing
RADAR-COMPUTE-03-oceania,T03,3,3,,,P24-S19,7.44,0,6.4,25.6,0,2,compute
RADAR-04-na-east-human-web,T04,4,2,P11-S05,P39-S19,,8.9,0,3.6,12,156.77,2,mixed
RADAR-04-na-east-video-streaming,T04,4,3,P14-S07,P44-S02,,5.72,0,3,21.6,331.99,3,background
RADAR-04-na-east-background-sync,T04,4,4,P23-S13,P59-S15,,6.36,0,3.6,24,78.13,3,background
RADAR-04-na-east-automated,T04,4,2,P29-S17,P69-S02,,5.09,0,2.4,9.6,132.29,4,routing
RADAR-COMPUTE-04-na-east,T04,4,3,,,P26-S15,15.26,1,9.6,38.4,0,2,compute
RADAR-04-na-west-human-web,T04,4,2,P20-S11,P60-S04,,7.79,0,3.15,10.5,137.18,2,mixed
RADAR-04-na-west-interactive-realtime,T04,4,1,P26-S15,P70-S13,,8.9,0,2.1,6.3,76.66,1,routing
RADAR-04-na-west-api,T04,4,2,P29-S17,P03-S17,,10.02,0,4.2,12.6,58.24,1,telemetry
RADAR-04-na-west-dns-control,T04,4,1,P41-S03,P23-S13,,3.34,0,1.05,4.2,22.79,1,telemetry
RADAR-04-europe-human-web,T04,4,2,P35-S16,P29-S17,,8.76,0,3.54,11.8,154.16,2,mixed
RADAR-04-europe-video-streaming,T04,4,3,P38-S18,P34-S22,,5.63,0,2.95,21.24,326.46,3,background
RADAR-04-east-asia-human-web,T04,4,2,P55-S22,P39-S02,,8.46,0,3.42,11.4,148.94,2,mixed
RADAR-04-east-asia-interactive-realtime,T04,4,1,P61-S04,P49-S11,,9.67,0,2.28,6.84,83.23,1,routing
RADAR-04-east-asia-api,T04,4,2,P64-S06,P54-S15,,10.88,0,4.56,13.68,63.23,1,telemetry
RADAR-04-east-asia-background-sync,T04,4,4,P67-S08,P59-S20,,6.04,0,3.42,22.8,74.23,3,background
RADAR-04-south-america-human-web,T04,4,2,P70-S05,P37-S22,,5.64,0,2.4,8,99.29,2,mixed
RADAR-04-south-america-video-streaming,T04,4,3,P01-S07,P42-S05,,3.63,0,2,14.4,210.26,3,background
RADAR-04-south-america-software-update,T04,4,5,P13-S15,P62-S01,,2.82,0,1.6,28.8,140.17,4,background
RADAR-04-south-america-automated,T04,4,2,P16-S17,P67-S05,,3.22,0,1.6,6.4,83.78,4,routing
RADAR-COMPUTE-04-south-america,T04,4,3,,,P13-S15,9.67,0,6.4,25.6,0,2,compute
RADAR-04-oceania-human-web,T04,4,2,P10-S10,P04-S14,,4.6,0,2.4,8,81,2,mixed
RADAR-04-oceania-interactive-realtime,T04,4,1,P16-S14,P14-S01,,5.26,0,1.6,4.8,45.26,1,routing
RADAR-04-oceania-api,T04,4,2,P19-S16,P19-S05,,5.91,0,3.2,9.6,34.39,1,telemetry
RADAR-04-oceania-dns-control,T04,4,1,P31-S02,P39-S01,,1.97,0,0.8,3.2,13.46,1,telemetry
RADAR-05-na-east-human-web,T05,5,2,P12-S05,P40-S20,,10.25,0,3.6,12,182.93,2,mixed
RADAR-05-na-east-interactive-realtime,T05,5,1,P18-S09,P50-S07,,11.71,0,2.4,7.2,102.22,1,routing
RADAR-05-na-east-api,T05,5,2,P21-S11,P55-S11,,13.18,0,4.8,14.4,75.76,1,telemetry
RADAR-05-na-east-dns-control,T05,5,1,P33-S19,P03-S07,,4.39,0,1.2,4.8,29.65,1,telemetry
RADAR-05-na-west-human-web,T05,5,2,P21-S11,P61-S04,,8.97,0,3.15,10.5,160.06,2,mixed
